flag,href,name,proven,source,target
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentraltT.pdf,NoncentraltT,,Noncentralt,T
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/VonmisesUniform.pdf,VonmisesUniform,,Vonmises,Uniform
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalNoncentralchisquare.pdf,NormalNoncentralchisquare,False,Normal,Noncentralchisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerseriesPoisson.pdf,PowerseriesPoisson,,Powerseries,Poisson
B,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammaChisquareB.pdf,GammaChisquareB,,Gamma,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TSPTriangular.pdf,TSPTriangular,,TSP,Triangular
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GeneralizedparetoPareto.pdf,GeneralizedparetoPareto,,Generalizedpareto,Pareto
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/HypoexponentialErlang.pdf,HypoexponentialErlang,False,Hypoexponential,Erlang
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TF.pdf,TF,,T,F
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialWeibull.pdf,ExponentialWeibull,,Exponential,Weibull
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DiscreteuniformRectangular.pdf,DiscreteuniformRectangular,,Discreteuniform,Rectangular
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/MinimaxStandardpower.pdf,MinimaxStandardpower,,Minimax,Standardpower
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalLognormal.pdf,NormalLognormal,,Normal,Lognormal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetabinomialRectangular.pdf,BetabinomialRectangular,,Betabinomial,Rectangular
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TStandardcauchy.pdf,TStandardcauchy,,T,Standardcauchy
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareExponential.pdf,ChisquareExponential,,Chisquare,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/CauchyStandardcauchy.pdf,CauchyStandardcauchy,,Cauchy,Standardcauchy
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/HyperexponentialExponential.pdf,HyperexponentialExponential,,Hyperexponential,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ErlangExponential.pdf,ErlangExponential,,Erlang,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialHyperexponential.pdf,ExponentialHyperexponential,,Exponential,Hyperexponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/LogisticexponentialExponential.pdf,LogisticexponentialExponential,,Logisticexponential,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareChi.pdf,ChisquareChi,,Chisquare,Chi
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialHypoexponential.pdf,ExponentialHypoexponential,,Exponential,Hypoexponential
